minimum length: 100
maximum length: 4476411
[0,10000]: 6.428190671450537e-05
[10000,20000]: 1.5816504356740134e-05
[20000,30000]: 6.679138903126601e-06
[30000,40000]: 3.5653511019989747e-06
[40000,50000]: 2.2977960020502307e-06
[50000,60000]: 1.530497180932855e-06
[60000,70000]: 1.0820092260379293e-06
[70000,80000]: 7.980522808815992e-07
[80000,90000]: 6.01742696053306e-07
[90000,100000]: 4.838544336237826e-07
[100000,110000]: 3.9518195797027166e-07
[110000,120000]: 2.998462327011789e-07
[120000,130000]: 2.573039466940031e-07
[130000,140000]: 2.1271143003587905e-07
[140000,150000]: 1.8247052793439261e-07
[150000,160000]: 1.3787801127626858e-07
[160000,170000]: 1.2608918503331626e-07
[170000,180000]: 1.0404920553562275e-07
[180000,190000]: 8.252178370066633e-08
[190000,200000]: 8.918503331624808e-08
[200000,210000]: 6.09943618657099e-08
[210000,220000]: 5.2793439261916966e-08
[220000,230000]: 4.86929779600205e-08
[230000,240000]: 5.330599692465402e-08
[240000,250000]: 3.997949769349052e-08
[250000,260000]: 3.4853921066119935e-08
[260000,270000]: 3.229113275243465e-08
[270000,280000]: 2.92157867760123e-08
[280000,290000]: 2.5627883136852895e-08
[290000,300000]: 2.8190671450538183e-08
[300000,310000]: 2.5627883136852895e-08
[310000,320000]: 2.3577652485904665e-08
[320000,330000]: 2.255253716043055e-08
[330000,340000]: 1.6401845207585856e-08
[340000,350000]: 1.4864172219374678e-08
[350000,360000]: 1.4351614556637622e-08
[360000,370000]: 1.6401845207585856e-08
[370000,380000]: 1.1788826242952332e-08
[380000,390000]: 1.3839056893900564e-08
[390000,400000]: 1.7426960533059967e-08
[400000,410000]: 1.6401845207585856e-08
[410000,420000]: 1.5889287544848795e-08
[420000,430000]: 1.2301383905689388e-08
[430000,440000]: 1.5376729882111737e-08
[440000,450000]: 9.7385955920041e-09
[450000,460000]: 8.200922603792928e-09
[460000,470000]: 1.0251153254741158e-08
[470000,480000]: 1.1788826242952332e-08
[480000,490000]: 1.0763710917478216e-08
[490000,500000]: 1.0763710917478216e-08
[500000,510000]: 8.713480266529984e-09
[510000,520000]: 6.6632496155817526e-09
[520000,530000]: 3.075345976422347e-09
[530000,540000]: 4.6130189646335215e-09
[540000,550000]: 4.6130189646335215e-09
[550000,560000]: 5.6381342901076374e-09
[560000,570000]: 5.6381342901076374e-09
[570000,580000]: 4.100461301896464e-09
[580000,590000]: 4.100461301896464e-09
[590000,600000]: 5.6381342901076374e-09
[600000,610000]: 4.6130189646335215e-09
[610000,620000]: 5.125576627370579e-09
[620000,630000]: 4.6130189646335215e-09
